what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391039322927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039324364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391039337212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1391039338977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039338982
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391039339402
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391039340161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039340473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039410467
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391039414743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391039437203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039438437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039527280
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391039527310
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391039530229
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391039531036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039535896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039537656
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391039539032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039539341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039542649
error,log,,,"The program file specified in the launch configuration does not exist",1391039546766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039546850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039547956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039548672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039548794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039555063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039953137
error,log,,,"The program file specified in the launch configuration does not exist",1391039957197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039957267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039961893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039966036
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1391039966933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039966972
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391039970116
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391039970336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039976349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039979260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391039981116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040440423
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391040441149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040441482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040510756
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391040518508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391040544457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391040544759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040545968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040547345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040552767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040687731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040688273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040689665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040690496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040693615
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391040699098
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391040699355
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391040720363
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391040720515
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391040720595
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391040720613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391040721812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041619410
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391041619444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041621104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041828592
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391041829466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041829800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041830657
error,log,,,"The program file specified in the launch configuration does not exist",1391041834376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041834443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041835392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041836854
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1391041837705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041837737
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391041840476
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391041840669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391041842848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042356212
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391042356875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042358107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042771690
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391042771719
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391042773162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042773469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042785573
error,log,,,"The program file specified in the launch configuration does not exist",1391042850652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042850710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042851992
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042853883
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1391042854820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042854857
error,log,,,"The program file specified in the launch configuration does not exist",1391042956638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042956702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042972092
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391042973404
error,log,,,"Error logged from Debug UI: ",1391042975874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042976143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042981117
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1391042982224
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1391042982343
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1391042982347
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1391042982351
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1391042982354
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1391042982439
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1391042983519
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391042986229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042991199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391042992162
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391042995875
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043004103
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043166277
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043193009
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043197460
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043204242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391043210044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391043210366
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043212045
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043213835
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043220874
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043224537
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043247493
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043250643
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1391043252815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391043253145
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391043253718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391043254183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391043254806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391043256718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391043257087
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043259660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391043262834
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043263285
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043264660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391043265903
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043267893
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043272665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391043274554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391043286555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391043289470
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043291168
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043294824
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391043301864
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043301963
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1391043301980
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043304588
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043305104
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043309635
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391043314445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391043326271
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1391043328459
