what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206120610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206121855
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1394206123726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206125520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206129231
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394206137018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394206165141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1394206165568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206165579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206170000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394206171491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1394206171865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206171883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206173935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1394206179161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206179171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206183934
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1394206191854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1394206202045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394206215709
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1394206219305
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1394206220616
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1394206220854
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1394206224239
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1394206224395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1394206225868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1394206246878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206288615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206546176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394206578137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394206578342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394206578486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394206578653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206657296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206658561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206658974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206659502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394206667344
