what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1397774819103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397774819710
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397774820287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1397774820880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397774820891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1397774821007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397774822468
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397774828252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1397774830486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397774832075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397774833544
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1397774834607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397774834691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1397774855222
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397774861441
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397774863291
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397774866087
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1397774872220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397774875276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775149580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775149817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775150157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775153597
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1397775153836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775154931
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397775154954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775155276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775160019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775168396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775175289
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1397775175304
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1397775175760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775176776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775177044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775177963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775556476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775557045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775560532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775564706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775578531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775580423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775624167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775624482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1397775624859
