what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391107572814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391107573069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391107584754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391107585019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391107586739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391107598492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391107600671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391108241029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391108247812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109025752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109031704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109034426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109044242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109051675
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059058
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059405
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059574
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059752
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109059884
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060040
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060194
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060335
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060487
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060645
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1391109060945
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109066651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109070210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109077632
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109079037
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109079437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109079989
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109084680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109085588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109092594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109093810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391109096125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391109096569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109097490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109130489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109149130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391109149885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391109150814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109151165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1391109158165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109162998
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109163485
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109163632
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109164683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391109170520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391109171095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391109171588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109173754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109180853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109184734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109185047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109190942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109194502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109203638
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109204643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391109205030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109205757
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109205883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109206701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391109212453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391109212748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391109215243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391109215375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391109216970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391109218169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391109218333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109218765
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109218882
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109219052
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391109219224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109220487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109342282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109343768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109350857
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391109352483
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391109352865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391109353173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391109353868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109357464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109363549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109365568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109379081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109381500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109534745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391109548595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113057926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113063096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113120726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113123797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113154829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113169902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113178582
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391113180614
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113201573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113203414
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1391113204210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113204248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113215215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113279699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391113280393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391113301335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391113301591
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113301994
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391113304020
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113309073
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1391113317603
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113325879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113334643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391113337415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391113338035
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113339784
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113340459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113340782
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113342305
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113342630
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113345154
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113346275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113350902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113351344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113352582
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391113368061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113368389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113379166
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1391113381732
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1391113383680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113389165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113398580
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113403131
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1391113449858
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113464020
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113473671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113476380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391113476827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391113478558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113478899
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391113479444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113479775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113491154
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113495150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391113495606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391113496604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113497351
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391113497668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113497987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113509269
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113512923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391113513295
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113514588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391113516815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113517180
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1391113518297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113518601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113529461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113544749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113550666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391113551528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113551681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113567627
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113571814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113574082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113575418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113577313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113578026
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113579060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113589770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113599163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113600057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113757164
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113771485
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113771709
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1391113774889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113775754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113783961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113794774
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113799382
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1391113799877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391113800216
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113800741
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113801666
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113802353
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113802497
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1391113802625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1391113804116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113804464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113808163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113818965
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1391113820310
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113820918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113822943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113823381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391113824810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113829869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113834563
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113834703
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113844614
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113845352
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1391113845507
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391113872035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391113873520
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113874199
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1391113877611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113910357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113915218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113950321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113951010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391113952360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391113952551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114037908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114050167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114055110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114063344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114065526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391114066102
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1391114068381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391114069202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114074496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114079149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391114080120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114082135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391114083928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391114084270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391114085034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391114089658
