what,kind,bundleId,bundleVersion,description,time
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400811860801
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400811868311
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400811952180
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400811956689
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1400811956967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400811962242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400811962476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400811962484
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1400811964011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400811964021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400811968668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812050096
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400812051387
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1400812055521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400812055583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400812058613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1400812063917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400812068394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812069455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812073288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400812076192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812076729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812077755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400812077959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813411675
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400813415721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813420342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813420391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813420417
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1400813421681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813421721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813427837
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1400813429851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813429869
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400813533615
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400813536342
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400813537498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813538612
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1400813540193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1400813556935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1400813560052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813560064
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400813561050
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400813562176
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400813566273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813628031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813633829
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400813635714
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400813655105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813656293
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1400813660652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813660662
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400813660923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813662278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813663655
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400813664528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813665677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1400813673823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813673830
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400813674539
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400813674757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813690871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813700687
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400813701825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400813725853
