what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399904991726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399904992386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1399904994465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399904995121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399904999103
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1399905001060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905001704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399905003655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905007510
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1399905008824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905010111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1399905013315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905037109
error,log,,,"Error while parsing /MeshTesting/main.cpp.",1399905046096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905046350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905060777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905062201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1399905063051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399905063594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905070584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905074889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905075912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905092381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399905093094
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1399905108173
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1399905110365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1399905116862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1399905117540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399905187434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399905187690
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1399905229342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1399905230063
