what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010035946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010039458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010040264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1400010043724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010047402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1400010049509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010052057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010054966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1400010057199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400010058188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400010058642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010059985
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400010073656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010073738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010080896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010081197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010081559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010081907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010082232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400010082539
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1400010084972
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1400010087914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400010088667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400010089198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010089748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010099852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010103185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010105522
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400010119901
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400010121513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010122498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010152995
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400010153015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400010169334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400022597923
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400022603626
